"Title","Description","Company","Location","Salary","URL"
"Programmer Analyst","The successful candidate will provide services in all areas of application and reporting development work, including business requirements, analysis, and design…","LoanAway Inc","Mississauga, ON","$90,000 - $115,000 a year","indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BxNyC2WB9NqG2K6GdNqcTxpH7-StKsgjvAHaToKEpLIGpbJxAKH4XWrs3cFiXe1YWoy6mulZaQV8dvx8fxts1CwGxK-POZKl6WE1bBUWGNYA_vXlxc34XniDr6lDYhJ-5Tf0QkBjGiSrJC6JkEL6A9MdZkJtAhV4jBCA6_K4wiesSs8_-QZmpZqmYkfHjdyqpt8RtcG13xX-ZYab8MDxsI3jwkEChrzIGZznPvcrzL0vrDJYRCp0fftqKWC_JhtZPrQei67AW04PLuL66IqT7XquYwJrc6G9dmIPSR044C8BYrj4L7xiElS7eftj4k3y1Psz56Cvu_QzV1cA8Pg56zcdAiTgRTk-jZCtIRgYRPUBBoc8O9mgl3B11maWz2nR8zdyELEldqbukdIXb-Rcj40F4THO4Q923pW2emSQbuFThcVlm4H-UtvD8V0iEEwAQA_UCuXWcKti25it8PGrkv&p=0&fvj=1&vjs=3"
"Software Engineer","Interpretation of requirements and existing interface and design specifications.
Writing and updating design specification.","Aversan Inc","Mississauga, ON•Remote","$56 an hour","indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0C2wKKtwdvetqTYuX5a1hPF6rKbuNN7opLgCOlpP4zus_a3vVMePEZNBKbEm7LypFIuWUZMRp_txPKCZa_pgNHUFdRkDr27V-8NZU1eAKcTH7tycmtpEYc1MvMgLZqPU1TJzyUC0zZTD2iWoDe01AsJIYj4n6a0Bd1OtbbxA5hBYA8It4pzeQueQ8MQkb2nu_RoMSCu_V0sk7PbQMIx37vCAqUMibEgCtiNGIZeUSsNldqeS1BJ0dDQDIHK4X-Ccs4OVeazapNJar7EBixKB7AKCsb8huXToCv0TVQDs-OdAjMxBDzN0VOsWVLF7U6PlA23JWZNQfl9qy5ckmogmjK5QaDIFSxqG3mboAgxN3vUd9qdfgTGJp1cIy6JROEVUkvgfdp8WpgIPccw1Dfy6ct0wLjTuZZJAd854W_G6AoFhMK02puByRuYxr2FiWEy_WOWEmOEkFsqVEPDgWsjN1Qu&p=1&fvj=1&vjs=3"
"Systems Integration Specialist","Design develop software integration mesh between Sales and Manufacturing.
Evaluate current software processes and define opportunities for improvement.","NETWORTH","Halton Hills, ON","$60,000 - $80,000 a year","indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0Cxhd_ealL3-2JkqPlAYGpuZVZ_hu_cnRDcfVFvKvm4EOuPQfPpcGU-ccA1AITikN_60ntE1O5Pkg-agMKugoylsqUllGKFCpR4BAO_mHrYyR2U_KON-Chs5VH-zuDTj0YSbwiSwfhliNqCaVHlvd5_diNY4akNBZ65C7_sEgmmnRGf22C6l8saX7BTt8KGVIliSoWZ5qXRpvPBoVPWsoE0go-BhlBSkmNCfzUuBgv79C2md-BvUpIZrWt0H6BsvYNimnH75QRXhLYSqhC7murjXjh8qoyQgO-a2MZMqgAmiyztRScAZaeqvNWS3mK58GBc9npa8NUwrPNGqbFVrTfZWrh0NglVQmqYLAYTfXS6AR0KUdz-k1KxE1PxFa4YQI38Soe55JOSDBciAv5FoQ9XBIt0yhwxe1LrGqZNbMGOX6bZOEpzDrj9bmcDgUQKuDieM1nUbrAAoXbjENcCRUaAnxQv1jmRFhQ=&p=2&fvj=1&vjs=3"
"Junior Javascript Developer","Support the development of web products,.
Perform enhancements and modifications on the applications.
3+ years in web development.
HTML5, CSS3 and SASS/LESS.","EFLYN","Mississauga, ON",,"indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BaYUcS-l1wab46kR7hy80imy7FkQHqKkG-CUKB179CZkyhPtsGeZXcVG2dnTAJhep2A3Ql7tKvRKOAA6thHTwjSvCn809l4FuCeoqS5jXPL6kehPbNvqwiFHiP-eqD_aQDoni9CDT2HvIw3TPelhYn1hQxToy79QtS0NL4a_ArCgEMKsLZ4n7v1BE99hoZoVZZGwJPZQqX4edUAWvJDe8BpslTraZ43qAuZIWPwrHfJZfDAzrWBAfyT7TrWn7Zr2H5y6yQS8qV7j8wdC0NLwvbnQAjbOQLlbaGw75zYax3Dwbb_9_X3EG7j96UqmSh9ldH1FXuzb9H_ubfMF6RYj0ky49QIOt5MAXHAP6JlVDu3ogo5_OT-UoO8-o8flaCNFFJV_6bU3W978ADSlIghPqhH93QIOlgjQdQnE8Lwco1L7t6_feaE50qU2TLzAqvkAIghb_XEGMNTFPsvUu6zP2hj0okC4aW3cM=&p=3&fvj=1&vjs=3"
"Software Test Engineer","Need strong Testng, Selenium, Java Coding experience.
* Bachelors or Masters in CS or related degrees..
* Minimum of 6+ years with Master or 8+ years with…","iPartner Staffing","Brampton, ON•Remote","$46,082 - $113,058 a year","indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0B-EimVQqTc2tFIV6vuu5Q2yMpllFPYuV8Iz2jCwgQfkw-l4YPp5GzHKH7Tz3sIsloYyQabja_CCqrZ4qOiu3IcRfiNH7tNUKobSYg6d7jdWG9JH_yIrEus4H6If2sq5jDaG9gP0qPXt9ZxR1PMML4Ljz6jk1bAWkueTfEYsN4aCZwrDfkrvquEXy6PxX_06DiNTgSnq02zBZU6y3sFKszxlDiu66Bq2EjVBvj96Az7nAyjtctHU8NklvMy5HTwXd9u1itJ_cHfi2y48J2RgUUGBhLU1vQWHx1wN2WS8hC3knelwIdH7U8YYoEoTq0bsJUWNH9w7Vgy0d8zBXp0F0WkD_YyRa7AclADWcdz2yu0AYf1SMreN-S76XjUAUc2igL8obU1dnWCL2btIur_dOD1lYJn57NHXBtaVcos2G7eNaCctb90MM1bO2f-IioUpzmRSVk4XvZJ6o5NGb9pDTSOCKUM6vZuFx74SLzzErlxkA==&p=4&fvj=1&vjs=3"
"UiPath RPA Developer (Immediate start)","We specialize in delivering your assets, on time and on budget.
Analysis and design of processes from an automation approach.
Fluency in English is a must.","Charger Logistics Inc.","Brampton, ON",,"indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BsyhvYFi3H2irsOj65cl6qkrkDRq3BEycnQpskUrt93FJkHXvoDsnPqfmw6ggvJ6OfjlSjPYaN9bCed2fgIcd-rrrFD3FB09leL_hYb28kj0vxV7F6qKUqUviowfjqjn0GoNsEgcMQBlMkXGVKMkGzFk1otOC0FXONfwaSq8CXespziFQnvATywj4dGVMD_461ZsZt2f1F4yGAcP9UhhZ85hVzhQupj-F1_lGWE9K5LARyMuc5wxWZfGw7eHMEe1RL2df7wS1-aWRNhtkwABt7iw5CtmCuw5-jvxxhMezkeUwEvIlByBIExel4peatBryr3fT8-siiPIfKvYIeHVbctNLJpyWVNe1fHqta5GNhN3pY77qB5iU3bwD2fI65-TKhQ0EeluLiBAf7O7ajNwpsLY7wh3przyDvOc_bF_noDl3u22X0NG5_kALZxREMdmzn7M_vXw69kCiuBHVvGeYT5Pk_paVYQwtem1gRrWo9V1BY3oQ5p0qD&p=5&fvj=1&vjs=3"
"Java Developer (Hybrid)","Temporarily remote due to COVID-19 regulations*.
As the Java Developer, you'll be a blend between a full-stack developer and a business systems analyst.","Canon Canada","Brampton, ON•Temporarily Remote",,"indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CiwBsQESNzV3IigGDo4D6O3v_XTHBz4yNpLF07K0ls6HTkrsISP9KKeZetmUBuNDXkwrLtAjpH9VOW3qCYkQU3-zArO1T8DOpqm1ZliUEOIqCzNK86_R8jXeHq2grYVxMxolPJSNrQVPJcm6BEJGJ9UaTyaq9jvbevZx6jsZ7QFjP7lNwpFPSEycives9LyPaKVtgeGtkhjRPPPbiCPaHViw9zY0qKLT3HzI6a0JRsmqO5TJ5k-xkR780FH8g5trCyA8jcl4t1mYpqRVEugcssPP3k_TqmK9fErAD0e9owvG0sG7Uy2OEkfXxEJjUiryalS2Rf_a3s-kV7Q5J5ZkhdTEOp1hK_KJ8vinnIkcW17SOyEuPJhOwtbtx_pO5B7lXn_anboQx5YiIYxwX0kte-E1gLj8gV3Cfakyz464moxJ5WdPHmUoMYBV1douWcfRosCUwdE0ge2NPTokDUZHKbfy66bQFyga79kQA0sNJzK80ijr8iC7OtY41ggu0dI7vdjp6PUBPNVAkGW6Fng4z-Oo15YVL6k7EbjcGdFvj-rMmBaFhmpBUcJcUQl_Gko-GqYvrnNCwatw==&p=6&fvj=0&vjs=3"
"Intermediate Web Developer","Meeting our customer’s needs means to be constantly challenging our employees with an entirely new and exciting way to work.
Net Web Forms and MVC frameworks.","Abell Pest Control Inc.","Etobicoke, ON",,"indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CyTbis2GgAuQvcJ9YI6RsAFnA8k_N1vnvFUIe7D5SERCv2o3OTWA1O_N8UmnktBtmVeBjVGzZjHACaFgUXrEUPq0Tpe-6mqh-s_GbTi-KdAy9KxzjktdyTq-YpAj_jvAvEWpMQ5IB-vYBGTQgGSetnl6V_soS6mLhzq5GXy7euMTpAyMp_WwsbAys98ZH3M4yTpm7MZGZe88mMU901khnu8D2875HGSUJaqu5jZw8B5_NAvfluXOlhdhiJu58-y0wcniYv9b3Zle1J83uK-SjNnqXLUWZkTTb74TYlegKVWMqYMgtZe12-Vs-uDUVyvRs_9NFuXPmDjmoe9gbwu4gbBpBRmtN2M2IlxQPujRLrNmoDC09CQNreW6OxYqBwySxBObQYJ_d4nZ383gEfnNG-qBhF0gmGTguNRtO8QhS8A8aHiY1AeSpIaC_Cc7rhPz5Xjzn2GXMxwKiRDMNMzUIrPGFZd24EVzwTblgx-hnOcLRWIgmjY7sBiGC_5NhrOCV4sSm1ArqA_QpShOLK-90XAul9jwLVv0pUG-c_avCCEtLmarFZtUlTUR6FZnO2KXmZ8IXxADITPxwGZqu81SeKV3Z2p1G9sNHNdasELeqsbz3JIKL5rjUuOXMiOUSbD0QlBCl_HHpz5ka3_el2x3qsQ9roASzs0MxIRJll6BlEC99NevL75d4oGq1F2Fazhdahi5wFkSreAA==&p=7&fvj=0&vjs=3"
"Software Engineer ( 2173)","Design, develop, test modules with software application.
Collect, document & implement new feature and functions, perform unit testing.","Shorewise Consulting LLC","Mississauga, ON•Temporarily Remote","$46.15 an hour","indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0Am6l6nBXpfoHpj8nqXBgWZeTtB9_DbNpRkhjTthhQkQpyuExdg5a59cvOlXSkSiKy6k0KyuNNCriujNfSHxa4vCLYFtmiqqy9stbJTy8bAotbZl9z2AQqWyGbUMa4qGJFw7Y-uTnHkSJGPh0YSLR-EcUIKSph8bAcUu0A9XpkmLmAzi2JEEsx5Q8Ws858SXW3uweK4LuH1D4TGOCwD8TiX_rbeaRMFVTSrWtx7OmEwTub5I-KD3qksFMKrkwvjHrrW2K9egSlCkl9feMPf3DJ7M12czifVCWxwyuMIK0Q9tyBVasy1Rnz2fYTDseM-6Ew5kfiY7161gU2MeT3M0Z58vgS8b4TGSezDweRYXluFO754FQYzFcf8rT95I09O0EfyjGzI_PcW3rOFhXFfnFRBtSUlA9R37f3Zeiuz5FeeJAhFuk195JeZsfCc-1Xzcph9MVzluEIcplJy7rfBOurFbRYTNr8bz7uwrni5HiTioQ==&p=8&fvj=1&vjs=3"
"Software Developer, SmartVU","This role will be responsible for the development and support of the graphical user interface used by Survalent’s SmartVU Application.","Survalent","Brampton, ON•Remote",,"indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0Acnv2mlUAHxqYRpudJ_loJ56rt_99B6IeG0TJxwnmBWPmz6tYIucBIvgX6hwvD7JGRm2SamPgiZSvf2BwSTsAqgbLRhXItWuA-qlO3nWrjPAMQiZaTdc7HQ9bn7F8NGWYEsy0kRxtchsWyeOVp88DqG5j1L4Um9NHEXQJZzin2B42Qi67a4QpzoEgwk7gXIuHgxrHtemMnR9ZYEHSyX4mUl0A_zyprfeA_jwyJ9XsGG2ItQJ7MwfBNlsGLN-W3bYlaeEHZZKO38Hf5Xoqcj0TFmjMgws1ot4zKVZtQGkAJDXuKYMk6hDkpGSOAaOjUtdA9ir4aCRL6NOvdPRCLbIMzlsTs7_NqoZO9Q3XBbldsP-fcaODCETguSTUMjPmeFrhfRHmr161Mz9RlJ-Je-USOpHU14jRBqwePwv3M1HOPggPJKP0kFM1KIEIkvQm6JKKeT9aWSBllEsOz3R4ehKcj_NokTYnhoHB6YlM4OKH0tzwQVbDBrLRrNHuk8ON1S0Xr-USUGSucJQ==&p=9&fvj=0&vjs=3"
